   4117825,   292970,13950,13860, 9,0, 0, 18, 30, 8, 6, 2, 9697, 9447,   119,  -130, 31, 33,1101364107,12467,12131,11963, 5, 5, 5, 2, 3, 3,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000076,  1,     2
  11728591,   440902,14858,14817, 7,0, 0, 30, 32, 6, 6, 2, 9584, 9538,    42,   -24, 39, 39,1229086934,12870,12167,12014, 5, 5, 5, 2, 2, 2,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000185,  1,     7
  18290451,   682045,10400,10375, 2,0, 0, 13, 12, 8, 8, 5, 9290, 9437,    26,    36, 13, 11,1181024763, 7516, 6675, 6389, 5, 5, 5, 2, 3, 3,13182,10986,20000,20000,20000, 99, 99, 99, 99, 99,2,3,1,0,0,0,0,0,0,1, 0, 0,  1000431,  1,    10
  28174150,   313469,14012,13924, 9,0, 0, 23, 20, 8, 8, 2, 9611, 9676,   153,    -6, 32, 31,1127037907,12431,12038,11937, 5, 5, 5, 2, 3, 3,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000084,  1,    14
  31121537,   101068,16079,16329,99,5, 0, 95, 98, 1, 1, 1, 9874, 9874,     0,     0,500,500,1085342271,15299,14894,14657,25,25,26, 7,10,13,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,0,0,0,0,0,0,0,0,0,0, 0, 0,  1000007,  0,     0
  35432525,   363587,13032,12989, 5,0, 0, 20, 17, 8, 8, 2, 9647, 9697,   126,     0, 29, 29,1085364212,11087,10514,10353, 5, 5, 5, 2, 3, 3,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000121,  1,    24
  37910656,   501415,15692,16287,39,0, 0, 67, 72, 2, 2, 2, 9341, 9269,   -22,     2, 69, 70,1085364149,14738,14268,13997, 5, 5, 5, 3, 6, 7,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000243,  0,     0
  38045128,   108191,13627,13574, 5,0, 0, 27, 21, 8, 8, 2, 9530, 9655,    39,   156, 32, 31,1085389169,11821,11253,11109, 5, 5, 5, 2, 3, 2,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000010,  0,     0
  38056505,   646040,16013,15957,21,0, 0, 52, 54, 3, 3, 2, 9302, 9273,   166,    10, 51, 51,1170189354,14632,14190,13961, 5, 5, 5, 4, 6, 7,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000393,  1,    26
  38701770,   384902,16242,15941, 4,0, 0, 87, 83, 2, 2, 2, 9253, 9307,    72,    28, 83, 82,1085364200,14545,14072,13862, 5, 5, 5, 4, 5, 6,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000136,  0,     0
  39636077,   666512,16226,16401,99,0, 0,122,108, 1, 1, 2, 9422, 9519,   125,    16,127,124,1085364048,15383,15129,14926, 5, 5, 6, 5,10,14,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000414,  1,    28
  52729132,   290968,15816,16011,16,0, 0,133, 68, 2, 2, 2, 8053, 9369,    52,    -8,122, 71,1085423115,14412,13841,13696, 5, 5, 5, 3, 4, 6,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000075,  0,     0
  58870098,   567803,16443,16421, 8,0, 0,167, 90, 2, 2, 2, 7882, 9268,  -179,   -17,169, 87,1161176943,15269,14681,14573, 5, 5, 5, 5, 6, 8,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000297,  0,     0
  64853461,   527593,15956,16328,99,0, 0, 93, 94, 1, 1, 2, 9564, 9559,   -69,   112,113,113,1161200971,14272,13577,13362, 5, 5, 5, 3, 4, 5,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,1, 0, 0,  1000267,  0,     0
  75028035,   687917,13945,13884, 9,0, 0, 15, 17, 8, 8, 2, 9745, 9719,   143,    91, 31, 31,1107647763,12569,12279,12135, 5, 5, 5, 2, 3, 3,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,3,0,0,0,0,0,0,0,0,1, 0, 0,  1000439,  1,    52
  88027286,   290241,15117,14531,19,5,36,255,255, 2, 2, 1, 9874, 9874,     0,     0,500,500,         0,20000,20000,20000, 0, 0, 0, 0, 0, 0,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,0,0,0,0,0,0,0,0,0,0, 0, 0,  1000073,  0,     0
 100191650,   250335,13073,13031, 5,0, 0, 16, 18, 8, 8, 2, 9760, 9739,    36,    79, 35, 35, 713693560,11254,10695,10619, 5, 5, 5, 2, 2, 2,20000,20000,20000,20000,20000, 99, 99, 99, 99, 99,4,0,0,0,0,0,0,0,0,5, 0, 0,  1000051,  1,    65
